Leaving Date,Leaving Reason,Start Date,Division Name,Job Title,Grade Code,Position Reference,FTE,Staff Category,Contract Type,Division Name,Faculty Name,School Name,Subject Group Name,Salary
31/05/2017,Contract Expired,01/09/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE21716538,0,Professional,Fee,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,
31/05/2017,Contract Expired,01/07/2016,Academic Affairs,Other Related,,CHRFEE21717754,0,Academic,Fee,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,
31/05/2017,Contract Expired,01/08/2015,Academic Affairs,Student Experience Assistant,HU03,CHRFEE48715887,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,13/08/2012,Academic Affairs,Student Experience Assistant,HU03,CHRFEE48715888,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,10/10/2015,Academic Affairs,Invigilator,HU02,CHRFEE21716961,0,Professional,Fee,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,
31/05/2017,Contract Expired,10/10/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE21716537,0,Professional,Fee,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,
31/05/2017,Contract Expired,01/07/2016,Education,Assistant to,HU01,CHRFEE34717788,0,Professional,Fee,Education,Education,Learning Enhancement and Academic Practice,Learning Enhancement and Academic Practice,
31/05/2017,Contract Expired,30/11/2015,Academic Affairs,Telephone Fundraiser,HU01,CHRFEE16717065,0,Professional,Fee,Academic Affairs,Academic Affairs,Development and Alumni Relations Office,Development and Alumni Relations Office,
31/05/2017,Contract Expired,01/09/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE21716473,0,Professional,Fee,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,
31/05/2017,Contract Expired,01/10/2012,Academic Affairs,Lecturer,HU09,CHRFEE16316315,0,Academic,Fee,Academic Affairs,Faculty of Health Sciences,Health and Social Work,"Psychological Health, Wellbeing and Social Work",
31/05/2017,Contract Expired,05/10/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE05816456,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,01/10/2012,Academic Affairs,Demonstrator (Academic),HU06,CHRFEE00412056,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Mathematics and Physical Sciences,Physics,
31/05/2017,Contract Expired,07/10/2013,Academic Affairs,Lecturer,HU08,CHRFEE05812738,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,01/10/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE48716146,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,26/01/2013,Academic Affairs,Lecturer,HU08,CHRFEE05812709,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,01/02/2014,Academic Affairs,Demonstrator (Academic),HU06,CHRFEE01313046,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Engineering and Computer Science,Mechanical Engineering,
31/05/2017,Contract Expired,01/12/2014,Academic Affairs,Student Ambassador,HU01,CHRFEE01614932,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Geology,
31/05/2017,Contract Expired,01/08/2012,Academic Affairs,Academic Consultant,,CHRFEE05816008,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,01/08/2005,Academic Affairs,Mentor,HU05,CHRFEE22415938,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Support,Scarborough Student Wellbeing,
31/05/2017,Contract Expired,01/08/2005,Academic Affairs,Notetaker,HU04,CHRFEE22415937,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Support,Scarborough Student Wellbeing,
31/05/2017,Contract Expired,01/08/2005,Academic Affairs,Personal Assistant,HU02,CHRFEE22415939,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Support,Scarborough Student Wellbeing,
31/05/2017,Contract Expired,01/09/2015,Academic Affairs,Clinical Educational Facilitator,M04,CHRDHY273,0.2,Academic,Continuing,Academic Affairs,Faculty of Health Sciences,Hull York Medical School,Hull York Medical School,72393
31/05/2017,Contract Expired,10/12/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE48716699,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,23/11/2015,Academic Affairs,Catering Assistant,HU01,CHRFEE17116476,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Facilities,Scarborough Catering,
31/05/2017,Contract Expired,08/11/2015,Academic Affairs,Telephone Fundraiser,HU01,CHRFEE16716203,0,Professional,Fee,Academic Affairs,Academic Affairs,Development and Alumni Relations Office,Development and Alumni Relations Office,
31/05/2017,Contract Expired,01/10/2014,Academic Affairs,Lecturer,HU09,CHRFEE16316546,0,Academic,Fee,Academic Affairs,Faculty of Health Sciences,Health and Social Work,"Psychological Health, Wellbeing and Social Work",
31/05/2017,Contract Expired,01/11/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE01516468,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),
31/05/2017,Contract Expired,11/01/2016,Academic Affairs,Student Ambassador,HU01,CHRFEE48716770,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,01/10/2014,Academic Affairs,Lecturer,HU09,CHRFEE16316314,0,Academic,Fee,Academic Affairs,Faculty of Health Sciences,Health and Social Work,"Psychological Health, Wellbeing and Social Work",
31/05/2017,Contract Expired,01/10/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE20816216,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,Faculty of Arts Cultures and Education Office,Faculty of Arts Cultures and Education Office,
31/05/2017,Contract Expired,01/07/2015,Academic Affairs,Post-Doctoral Research Fellow,HU07,CHRD013185,1,Academic,Fixed Term,Academic Affairs,Faculty of Science and Engineering,School of Engineering and Computer Science,Mechanical Engineering,33943
31/05/2017,Contract Expired,08/05/2015,Academic Affairs,Catering Assistant,HU01,CHRFEE17117913,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Facilities,Scarborough Catering,
31/05/2017,Contract Expired,01/11/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE01516518,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),
31/05/2017,Contract Expired,13/06/2016,Academic Affairs,Visiting Lecturer,HU08,CHRFEE00617760,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Mathematics and Physical Sciences,Chemistry,
31/05/2017,Contract Expired,01/11/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE01516525,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),
31/05/2017,Contract Expired,22/09/2014,Academic Affairs,Student Ambassador,HU01,CHRFEE20816210,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,Faculty of Arts Cultures and Education Office,Faculty of Arts Cultures and Education Office,
31/05/2017,Contract Expired,12/12/2014,University Registrar and Secretary,Examination Support,HU04,CHRFEE46517211,0,Professional,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,12/12/2014,University Registrar and Secretary,Notetaker,HU04,CHRFEE46517229,0,Professional,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,12/12/2014,University Registrar and Secretary,Notetaker (Typing up),HU02,CHRFEE46517210,0,Professional,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,06/10/2013,Academic Affairs,Demonstrator (Academic),HU06,CHRFEE01312624,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Engineering and Computer Science,Mechanical Engineering,
31/05/2017,Contract Expired,01/12/2014,Academic Affairs,Student Ambassador,HU01,CHRFEE01614930,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Geology,
31/05/2017,Contract Expired,17/02/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE05816561,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,16/09/2013,Academic Affairs,Guest Lecturer,HU07,CHRFEE19717072,0,Academic,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Social Sciences,
31/05/2017,Contract Expired,29/02/2016,Academic Affairs,Student Ambassador,HU01,CHRFEE05817368,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,18/03/2014,Academic Affairs,Student Ambassador,HU01,CHRFEE05816359,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,01/10/2013,Academic Affairs,Demonstrator (Academic),HU06,CHRFEE00412151,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Mathematics and Physical Sciences,Physics,
31/05/2017,Contract Expired,01/10/2012,Academic Affairs,Lecturer,HU08,CHRFEE05812711,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,26/09/2011,Academic Affairs,Laboratory Assistant,HU01,CHRFEE05816357,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,08/11/2015,Academic Affairs,Telephone Fundraiser,HU01,CHRFEE16716206,0,Professional,Fee,Academic Affairs,Academic Affairs,Development and Alumni Relations Office,Development and Alumni Relations Office,
31/05/2017,Contract Expired,28/01/2013,Academic Affairs,Lecturer,HU08,CHRFEE05812696,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,01/10/2015,Academic Affairs,Student Experience Assistant,HU03,CHRFEE48716156,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,01/02/2016,Academic Affairs,Student Ambassador,HU01,CHRFEE10017246,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),
31/05/2017,Contract Expired,12/12/2014,University Registrar and Secretary,Examination Support,HU04,CHRFEE46517209,0,Professional,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,12/12/2014,University Registrar and Secretary,Notetaker,HU04,CHRFEE46517226,0,Professional,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,12/12/2014,University Registrar and Secretary,Notetaker (Typing up),HU02,CHRFEE46517208,0,Professional,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,01/03/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE19717123,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Social Sciences,
31/05/2017,Contract Expired,13/01/2015,Academic Affairs,Tutor,HU07,CHRFEE51417519,0,Academic,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Teacher Education,
31/05/2017,Contract Expired,11/01/2016,Academic Affairs,Student Ambassador,HU01,CHRFEE48716771,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,09/05/2016,Academic Affairs,Research Assistant,HU06,CHRFEE51418005,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Teacher Education,
31/05/2017,Contract Expired,09/05/2016,Academic Affairs,Research Assistant,HU06,CHRFEE51417759,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Teacher Education,
31/05/2017,Contract Expired,01/11/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE01516530,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),
31/05/2017,Contract Expired,01/03/2016,Academic Affairs,Other Related,HU01,CHRFEE01517314,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),
31/05/2017,Contract Expired,27/08/2013,Academic Affairs,Dyslexia Tutor,HU07,CHRFEE22415949,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Support,Scarborough Student Wellbeing,
31/05/2017,Contract Expired,01/02/2016,Academic Affairs,Tutor,HU07,CHRFEE06516643,0,Academic,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Education Studies,
31/05/2017,Contract Expired,01/10/2014,Academic Affairs,Student Ambassador,HU01,CHRFEE05814568,0,Professional,Fee,Academic Affairs,Faculty of Health Sciences,School of Life Sciences,Psychology,
31/05/2017,Contract Expired,17/12/2014,Academic Affairs,Student Experience Assistant,HU03,CHRFEE48715861,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,16/01/1992,Academic Affairs,Student Ambassador,HU01,CHRFEE21716474,0,Professional,Fee,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,
31/05/2017,Contract Expired,10/12/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE48716703,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,03/02/2014,Academic Affairs,Demonstrator (Academic),HU06,CHRFEE00813000,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Engineering and Computer Science,Computer Science,
31/05/2017,Resigned,03/08/2015,Academic Affairs,Clinical Research Officer,M01,CHRD488033,1,Academic,Fixed Term,Academic Affairs,Faculty of Health Sciences,Hull York Medical School,Centre for Cardiovascular and Metabolic Research,53169
31/05/2017,Contract Expired,03/05/2017,Academic Affairs,Student Ambassador,HU01,CHR02887,0,Professional,Occasional Worker,Academic Affairs,Faculty of Science and Engineering,Faculty of Science and Engineering Office,Faculty of Science and Engineering Office,
31/05/2017,Contract Expired,03/05/2017,Education,Student Ambassador,HU01,CHR02889,0,Professional,Occasional Worker,Education,Student Recruitment Directorate,Schools and Colleges Liaison Service,Schools and Colleges Engagement,
31/05/2017,Contract Expired,17/02/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE05816369,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,01/10/2012,Academic Affairs,Lecturer,HU08,CHRFEE05812695,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,01/01/2014,University Registrar and Secretary,Invigilator,HU03,CHRFEE33314853,0,Professional,Fee,University Registrar and Secretary,Student Services,Registry Services,Registry Services,
31/05/2017,Contract Expired,01/01/2014,University Registrar and Secretary,Invigilator,HU03,CHRFEE33314843,0,Professional,Fee,University Registrar and Secretary,Student Services,Registry Services,Registry Services,
31/05/2017,Contract Expired,01/09/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE21717730,0,Professional,Fee,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,
31/05/2017,Contract Expired,01/08/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE19717523,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Social Sciences,
31/05/2017,Contract Expired,01/10/2015,Academic Affairs,Lecturer,HU09,CHRFEE16316321,0,Academic,Fee,Academic Affairs,Faculty of Health Sciences,Health and Social Work,"Psychological Health, Wellbeing and Social Work",
31/05/2017,Contract Expired,01/12/2014,Academic Affairs,Student Ambassador,HU01,CHRFEE01614926,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Geology,
31/05/2017,Contract Expired,01/10/2011,Academic Affairs,Demonstrator (Academic),HU06,CHRFEE00611634,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Mathematics and Physical Sciences,Chemistry,
31/05/2017,Contract Expired,01/08/2015,Academic Affairs,Catering Assistant,HU01,CHRFEE17115846,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Facilities,Scarborough Catering,
31/05/2017,Contract Expired,29/05/2016,Academic Affairs,Marker,HU08,CHRFEE02217744,0,Professional,Fee,Academic Affairs,"Faculty of Business, Law and Politics",School of Law and Politics,Law,
31/05/2017,Contract Expired,29/05/2016,Academic Affairs,Modular/Ad-Hoc Sessions Lecturer,HU09,CHR03424,0,Academic,Occasional Worker,Academic Affairs,"Faculty of Business, Law and Politics",School of Law and Politics,Law,
31/05/2017,Contract Expired,08/09/2014,Education,Senior Ambassador,HU01,CHRFEE24514891,0,Professional,Fee,Education,Student Recruitment Directorate,Directors Office (Strategy and Information),Directors Office (Strategy and Information Management),
31/05/2017,Contract Expired,10/10/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE48716249,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,01/09/2014,Academic Affairs,Student Ambassador,HU01,CHRFEE19716741,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Social Sciences,
31/05/2017,Contract Expired,01/08/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE19717303,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Social Sciences,
31/05/2017,Contract Expired,05/10/2015,Academic Affairs,Demonstrator (Academic),HU06,CHRFEE01317259,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Engineering and Computer Science,Mechanical Engineering,
31/05/2017,Contract Expired,05/10/2015,Academic Affairs,Researcher,HU06,CHRFEE01317307,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Engineering and Computer Science,Mechanical Engineering,
31/05/2017,Contract Expired,06/10/2013,Academic Affairs,Demonstrator (Academic),HU06,CHRFEE01317262,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Engineering and Computer Science,Mechanical Engineering,
31/05/2017,Contract Expired,01/07/2016,Academic Affairs,Other Related,,CHRFEE21717755,0,Academic,Fee,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,
31/05/2017,Contract Expired,11/12/2013,Academic Affairs,Student Ambassador,HU01,CHRFEE01612900,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Geology,
31/05/2017,Contract Expired,11/12/2013,Academic Affairs,Student Ambassador,HU01,CHRFEE01612754,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Geology,
31/05/2017,Contract Expired,01/11/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE01516519,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),
31/05/2017,Contract Expired,01/11/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE01516466,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),
31/05/2017,Contract Expired,01/02/2016,Academic Affairs,Student Ambassador,HU01,CHRFEE00617375,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Mathematics and Physical Sciences,Chemistry,
31/05/2017,Contract Expired,01/02/2014,Education,External Academic,,CHRFEE34716725,0,Professional,Fee,Education,Education,Learning Enhancement and Academic Practice,Learning Enhancement and Academic Practice,
31/05/2017,Contract Expired,14/11/2014,Academic Affairs,Student Ambassador,HU01,CHRFEE48716178,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,01/10/2012,Academic Affairs,Lecturer,HU08,CHRFEE05812692,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,10/10/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE48716247,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,01/10/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE48716176,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Experience,Scarborough Campus Connect,
31/05/2017,Contract Expired,25/10/2006,Academic Affairs,Other Related,HU04,CHRFEE19716813,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Social Sciences,
31/05/2017,Contract Expired,01/09/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE21716472,0,Professional,Fee,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,
31/05/2017,Contract Expired,01/11/2013,Academic Affairs,Student Ambassador,HU01,CHRFEE01516424,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),
31/05/2017,Contract Expired,09/01/2012,University Registrar and Secretary,Invigilator,HU03,CHRFEE33312722,0,Professional,Fee,University Registrar and Secretary,Student Services,Registry Services,Registry Services,
31/05/2017,Contract Expired,09/01/2012,University Registrar and Secretary,Invigilator,HU04,CHRFEE33312723,0,Professional,Fee,University Registrar and Secretary,Student Services,Registry Services,Registry Services,
31/05/2017,Contract Expired,03/02/2012,Academic Affairs,Mentor,HU05,CHRFEE22415929,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Support,Scarborough Student Wellbeing,
31/05/2017,Contract Expired,03/02/2012,Academic Affairs,Notetaker,HU04,CHRFEE22415923,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Support,Scarborough Student Wellbeing,
31/05/2017,Contract Expired,03/02/2012,Academic Affairs,Personal Assistant,HU02,CHRFEE22415926,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Support,Scarborough Student Wellbeing,
31/05/2017,Contract Expired,17/08/2015,University Registrar and Secretary,Mentor,HU05,CHRFEE46517212,0,Academic,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,17/08/2015,University Registrar and Secretary,Personal Assistant,HU02,CHRFEE46517213,0,Professional,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,17/08/2015,University Registrar and Secretary,Examination Support,HU04,CHRFEE46517197,0,Professional,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,17/08/2015,University Registrar and Secretary,Mentor,HU05,CHRFEE46517198,0,Academic,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,17/08/2015,University Registrar and Secretary,Notetaker,HU04,CHRFEE46517235,0,Professional,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,17/08/2015,University Registrar and Secretary,Notetaker (Typing up),HU02,CHRFEE46517196,0,Professional,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,13/06/2016,Academic Affairs,Research Nurse,HU07,CHRFEE48817785,0,Professional,Fee,Academic Affairs,Faculty of Health Sciences,Hull York Medical School,Centre for Cardiovascular and Metabolic Research,
31/05/2017,Contract Expired,01/02/2016,Academic Affairs,Student Ambassador,HU01,CHRFEE00617374,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Mathematics and Physical Sciences,Chemistry,
31/05/2017,Retired,01/07/1997,Academic Affairs,Senior Lecturer,HU09,CHRSCS029,0.3,Academic,Continuing,Academic Affairs,Faculty of Science and Engineering,School of Engineering and Computer Science,Computer Science,55998
31/05/2017,Contract Expired,01/10/2014,Academic Affairs,Demonstrator (Academic),HU06,CHRFEE00414617,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Mathematics and Physical Sciences,Physics,
31/05/2017,Contract Expired,01/09/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE21716471,0,Professional,Fee,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,
31/05/2017,Contract Expired,08/03/2016,Academic Affairs,Technical Assistant,HU02,CHRFEE05817487,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/05/2017,Contract Expired,01/12/2015,University Registrar and Secretary,Notetaker,HU04,CHRFEE46517234,0,Professional,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,01/12/2015,University Registrar and Secretary,Notetaker (Typing up),HU02,CHRFEE46517189,0,Professional,Fee,University Registrar and Secretary,Student Services,Student Services,Student Services Office,
31/05/2017,Contract Expired,01/09/2015,Academic Affairs,Student Ambassador,HU01,CHRFEE21716459,0,Professional,Fee,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,
31/05/2017,Contract Expired,01/12/2015,Academic Affairs,Invigilator,HU03,CHRFEE21717221,0,Professional,Fee,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,
01/06/2017,Contract Expired,08/01/2016,Academic Affairs,Other Related,HU01,CHRFEE01616789,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Geography,
01/06/2017,Contract Expired,01/03/2017,Central,IR35,,CHR02857,0,XX IR35,XX IR35,Central,IR35,IR35,IR35,
01/06/2017,Contract Expired,08/01/2016,Academic Affairs,Other Related,HU01,CHRFEE01616791,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Geography,
01/06/2017,Contract Expired,08/01/2016,Academic Affairs,Other Related,HU01,CHRFEE01616802,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Geography,
01/06/2017,Contract Expired,27/02/2017,Academic Affairs,Chemistry Project Assistant,HU06,CHR01917,0,Academic,Occasional Worker,Academic Affairs,Faculty of Health Sciences,Hull York Medical School,Hull York Medical School,
02/06/2017,Resigned,27/02/2017,Chief Finance Office,Cleaner,HU01,CHRD448058,0.38,Professional,Fixed Term,Chief Finance Office,Estates,Operations,Cleaning Services,14767
07/06/2017,Contract Expired,02/03/2017,Academic Affairs,Clinical Educational Facilitator,M02,CHR01890,0.2,Academic,Temporary,Academic Affairs,Faculty of Health Sciences,Hull York Medical School,Hull York Medical School,72393
08/06/2017,Resigned,16/11/2015,Chief Finance Office,Plumbing and Heating Engineer,HU05,CHRSET063,1,Professional,Continuing,Chief Finance Office,Estates,Operations,Maintenance,23879
09/06/2017,Retired,29/10/1983,Chief Finance Office,Assistant (Cash Handling),HU01,CHRDLN028,0.72,Professional,Continuing,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Hull Campus Commercial Services,15052
